path,class,tier,human_rating,notes
data/clips/tier1/answering_questions/ZSZ0aiVMZbQ_48_58.mp4,answering questions,1,2,
data/clips/tier1/answering_questions/Z8qSjSZfwnU_1053_1063.mp4,answering questions,1,2,
data/clips/tier1/reading_newspaper/UC20n5-Uxz8_23_33.mp4,reading newspaper,1,1,
data/clips/tier1/testifying/w6tkFT2gTbM_38_48.mp4,testifying,1,1,
data/clips/tier1/answering_questions/WBUaUsblSTA_82_92.mp4,answering questions,1,1,
data/clips/tier1/testifying/YcNeXuaEfC4_370_380.mp4,testifying,1,1,
data/clips/tier1/reading_newspaper/0l2lrYMxMuk_9_19.mp4,reading newspaper,1,2,
data/clips/tier1/testifying/Befv3jjcsAg_248_258.mp4,testifying,1,1,
data/clips/tier1/answering_questions/c1Isf821kwk_7_17.mp4,answering questions,1,1,
data/clips/tier1/testifying/DdW41pBsias_320_330.mp4,testifying,1,1,
data/clips/tier1/testifying/ctaHquihB8k_153_163.mp4,testifying,1,1,
data/clips/tier1/testifying/up3zTq4JFlc_77_87.mp4,testifying,1,1,
data/clips/tier1/reading_newspaper/zxfw3VMo5nI_60_70.mp4,reading newspaper,1,1,
data/clips/tier1/answering_questions/zcC10VYQNwA_902_912.mp4,answering questions,1,1,
data/clips/tier1/testifying/TuNSlry50fU_1_11.mp4,testifying,1,1,
data/clips/tier1/presenting_weather_forecast/q2eSObPEDRc_21_31.mp4,presenting weather forecast,1,1,
data/clips/tier1/answering_questions/0hiu7IaIWds_30_40.mp4,answering questions,1,1,
data/clips/tier1/answering_questions/LXApxm76Pbw_93_103.mp4,answering questions,1,2,
data/clips/tier1/reading_newspaper/9p403fUOi2o_177_187.mp4,reading newspaper,1,1,
data/clips/tier1/answering_questions/naS_k6dIctw_309_319.mp4,answering questions,1,1,
data/clips/tier2/lunge/6WsP70_EjSg_34_44.mp4,lunge,2,2,
data/clips/tier2/doing_aerobics/u3C-oqln-VI_347_357.mp4,doing aerobics,2,3,
data/clips/tier2/stretching_arm/lDeyX7zQvxA_38_48.mp4,stretching arm,2,3,
data/clips/tier2/stretching_arm/dZO94OAL8Xs_161_171.mp4,stretching arm,2,3,
data/clips/tier2/belly_dancing/lRTNYmJnTYU_157_167.mp4,belly dancing,2,3,
data/clips/tier2/doing_aerobics/agJXUogriz0_318_328.mp4,doing aerobics,2,2,
data/clips/tier2/lunge/O1Pc760bQRY_0_10.mp4,lunge,2,3,
data/clips/tier2/stretching_arm/iWpH3IDcS54_43_53.mp4,stretching arm,2,2,
data/clips/tier2/belly_dancing/t6ymA0XXi1k_25_35.mp4,belly dancing,2,3,
data/clips/tier2/lunge/JVS5-B1bPi4_2_12.mp4,lunge,2,3,
data/clips/tier2/zumba/z2jxgepivRM_53_63.mp4,zumba,2,3,
data/clips/tier2/lunge/BzbbMMAqQ4c_2_12.mp4,lunge,2,3,
data/clips/tier2/stretching_arm/SsGezB3lB7Y_75_85.mp4,stretching arm,2,2,
data/clips/tier2/zumba/0Bfx__DqtOY_25_35.mp4,zumba,2,3,
data/clips/tier2/belly_dancing/UtjtKE-JKTQ_48_58.mp4,belly dancing,2,3,
data/clips/tier2/belly_dancing/95a6I3xUxEg_18_28.mp4,belly dancing,2,3,
data/clips/tier2/doing_aerobics/U7QZ1csQGvE_54_64.mp4,doing aerobics,2,3,
data/clips/tier2/doing_aerobics/Bf-S7TPs3J0_226_236.mp4,doing aerobics,2,3,
data/clips/tier2/lunge/h6rKkYXdOlg_0_10.mp4,lunge,2,3,
data/clips/tier2/stretching_arm/JjZbUME1jiU_3_13.mp4,stretching arm,2,2,
data/clips/tier3/kicking_soccer_ball/y-M5uIgm8mw_0_10.mp4,kicking soccer ball,3,4,
data/clips/tier3/capoeira/kapKZzt7yh0_85_95.mp4,capoeira,3,4,
data/clips/tier3/kicking_soccer_ball/0sIvB7b9Q7c_25_35.mp4,kicking soccer ball,3,3,
data/clips/tier3/kicking_soccer_ball/AcYIo0SnzvY_3_13.mp4,kicking soccer ball,3,3,
data/clips/tier3/kicking_soccer_ball/uFwB3BRRWYU_0_10.mp4,kicking soccer ball,3,4,
data/clips/tier3/capoeira/QWZeuUaDwNM_6_16.mp4,capoeira,3,4,
data/clips/tier3/wrestling/PLQc4cuzHV0_54_64.mp4,wrestling,3,5,
data/clips/tier3/capoeira/MOnC4t1DhHM_66_76.mp4,capoeira,3,4,
data/clips/tier3/capoeira/HF2HmuDUaAY_24_34.mp4,capoeira,3,4,
data/clips/tier3/punching_person_boxing/uxVAASdzwlg_0_10.mp4,punching person (boxing),3,3,
data/clips/tier3/kicking_soccer_ball/QNmcXX0nCeg_20_30.mp4,kicking soccer ball,3,4,
data/clips/tier3/wrestling/J5FyZDqNTsQ_415_425.mp4,wrestling,3,4,
data/clips/tier3/punching_person_boxing/tKRtfrLqZTk_413_423.mp4,punching person (boxing),3,4,
data/clips/tier3/wrestling/c6aTJzRqY-0_42_52.mp4,wrestling,3,4,
data/clips/tier3/punching_person_boxing/D1x7dDtMBRk_31_41.mp4,punching person (boxing),3,4,
data/clips/tier3/wrestling/E1N7ts_Aspk_5_15.mp4,wrestling,3,5,
data/clips/tier3/side_kick/5ia_Wi8FsLc_38_48.mp4,side kick,3,4,
data/clips/tier3/side_kick/Ab8jJDqubUs_157_167.mp4,side kick,3,4,
data/clips/tier3/punching_person_boxing/yPD_foRAQ94_101_111.mp4,punching person (boxing),3,4,
